Type,ID,Name,Event
"EAN13","8850157400107","096537 泰國Bento辣味魷魚-香辣口味",""
"EAN13","8850332251364","366612 泰國IMPERIAL草莓風味果醬餅乾",""
"EAN13","8850332251593","366577 泰國IMPERIAL藍莓風味果醬餅乾",""
"EAN13","8851019410135","525792 格力高百奇巧克力棒",""
"EAN13","8851019410142","525831 格力高百奇草莓棒",""
"EAN13","8851019410173","349911 格力高百奇牛奶餅乾巧克力棒",""
"EAN13","8887549315770","805006 國際 EVOLTA 鈦元素電池 3號4入",""
"EAN13","8887549315794","805028 國際 EVOLTA 鈦元素電池 4號 4入",""
"EAN13","8887549665004","792759 國際 EVOLTA 鈦元素電池3號6入",""
"EAN13","8887549665011","792753 國際 EVOLTA 鈦元素電池4號6入",""
"EAN13","8934677063315","349711 樂天XYLITOL無糖口香糖-萊姆薄荷",""
"EAN13","8934677063414","349186 樂天XYLITOL無糖口香糖-藍莓薄荷",""
"EAN13","8935084103892","875303 越南HIS&HERS鹹酥風味腰果",""
"EAN13","8935084103908","875836 越南HIS&HERS 芥末風味腰果",""
"EAN13","8935084103953","398359 越南 HIS&HERS 甜味腰果",""
"EAN13","8935084104035","875832 越南HIS&HERS 辣味腰果",""
"EAN13","8936101341679","366631 越南Tan Tan芥末脆皮青豆",""
"EAN13","9002490204228","420910 紅牛能量飲CAN250ml",""
"EAN13","9331275012278","366520 印尼Redondo可可風味捲心酥",""
"EAN13","9331275012544","366442 印尼Redondo草莓風味捲心酥",""
"EAN13","9334214004594","309417 西莎蒔蘿焗烤菲力牛口味","20260814_五六日_033"
"EAN13","9334214033105","367736 西莎南法野菜燉雞口味",""
"EAN8","23155930","315593 貓福珊迪鰅魚燒2入卡士達口味",""
"EAN8","23396159","339615 御料小館X世界的山將夢幻雞翅",""
"EAN8","23457577","345757 CITY TEA莓好光櫻心凍風味紅茶",""
"EAN8","23464728","346472 CITY CAFE莓好光櫻心凍風味拿鐵",""
"EAN8","23500662","350066 木曜香草可麗露",""
"EAN8","23501775","350177 木曜白葡萄大福",""
"EAN8","23529908","352990 奇美招牌鮮肉包",""
"EAN8","23730298","373029 （A）御料小館泰式打拋豬炒飯",""
"EAN8","23836167","383616 (A)御料小館原味嫩雞塊",""
"EAN8","24072861","407286 （A）御料小館韓風拌拌炸雞",""
"EAN8","24072892","407289 御料小館美式紐奧良風味烤雞翅",""
"EAN8","24441889","444188 和風葛粉抹茶拿鐵（特大）",""
"EAN8","24442350","444235 和風葛粉焦糖瑪奇朵（特大）",""
"EAN8","24584784","458478 御料小館美式香辣雞丁",""
"EAN8","24958738","495873 御料小館招牌水餃",""
"EAN8","24988513","498851 御料小館鮮肉鍋貼",""
"EAN8","25252293","525229 春上蛋糕杯-香濃芋泥",""
"EAN8","25266153","526615 大成椒鹽炸雞柳",""
"EAN8","25299557","529955 （A）御料小館韓式泡菜鍋貼",""
"EAN8","25549249","554924 西班牙GiroRibot西班牙女郎",""
"EAN8","25549423","554942 西班牙GiroRibot安東尼高第",""
"EAN8","25550764","555076 西班牙GiroRibot美麗佳人",""
"EAN8","25566079","556607 御料小館辣味雞柳條",""
